MergeFragID	Chr	Start	End	nGEMs	ec	rankSE	MED1	GEMtype	PGI	TSS	Gene	LocusLen
PC3DM+_anchor22	chr8	130663699	130687518	1380	TRUE	3	TRUE	ec-ec,ecTrans	I	.	.	23819
PC3DM+_anchor23	chr8	130725562	130732401	52	TRUE	0	TRUE	ec-ec,ecTrans	I	.	.	6839
PC3DM+_anchor24	chr8	130758297	130765534	98	TRUE	0	TRUE	ec-ec,ecTrans	I	.	.	7237
PC3DM+_anchor25	chr8	130800733	130806663	29	TRUE	0	TRUE	ec-ec,ecTrans	G	.	ADCY8	5930
PC3DM+_anchor26	chr8	132868516	132891288	3157	TRUE	2	TRUE	ec-ec,ecTrans	P	TG	TG	22772
PC3DM+_anchor27	chr8	133704805	133714373	202	TRUE	1	TRUE	ec-ec,ecTrans	I	.	.	9568
PC3DM+_anchor28	chr8	133717008	133741628	6480	TRUE	1	TRUE	ec-ec,ecTrans	I	.	.	24620
PC3DM+_anchor29	chr8	137037823	137047524	89	TRUE	0	TRUE	ec-ec,ecTrans	G	.	LINC02055	9701
PC3DM+_anchor30	chr8	137254230	137264933	39	TRUE	0	TRUE	ec-ec,ecTrans	I	.	.	10703
PC3DM+_anchor31	chr8	137316684	137325271	87	TRUE	70	TRUE	ecTrans	I	.	.	8587
PC3DM+_anchor32	chr8	137334572	137340449	54	TRUE	70	TRUE	ecTrans	I	.	.	5877
PC3DM+_anchor33	chr8	139213465	139220349	32	TRUE	0	TRUE	ec-ec,ecTrans	I	.	.	6884
PC3DM+_anchor34	chr8	141229270	141243698	438	TRUE	4	TRUE	ec-ec,ecTrans	P	SLC45A4	SLC45A4	14428
PC3DM+_anchor35	chr8	144255604	144263696	62	TRUE	0	FALSE	ec-ec,ecTrans	P	BOP1	BOP1;MROH1	8092
PC3DM+_anchor36	chr8	144286536	144297139	181	TRUE	0	TRUE	ec-ec,ecTrans	P	BOP1;HSF1	BOP1;HSF1	10603
PC3DM+_anchor37	chr8	144308843	144334001	307	TRUE	0	TRUE	ec-ec,ecTrans	P	AC233992.1;DGAT1;SCRT1;SLC52A2	AC233992.1;DGAT1;HSF1;SCRT1;SLC52A2	25158
PC3DM+_anchor38	chr8	144337174	144342467	2	TRUE	0	TRUE	ecTrans	P	SCRT1	SCRT1;SLC52A2	5293
PC3DM+_anchor39	chr8	144348777	144365701	340	TRUE	0	TRUE	ec-ec,ecTrans	P	TMEM249;SLC52A2;FBXL6	FBXL6;SLC52A2;TMEM249	16924
PC3DM+_anchor40	chr8	144370826	144375033	83	TRUE	0	TRUE	ec-ec,ecTrans	P	ADCK5	ADCK5	4207
PC3DM+_anchor41	chr1	901408	906248	7	FALSE	0	TRUE	ecTrans	P	AL645608.6	AL645608.6	4840
PC3DM+_anchor42	chr1	906956	908337	2	FALSE	0	FALSE	ecTrans	P	AL645608.6	AL645608.6	1381
PC3DM+_anchor43	chr1	910323	913159	4	FALSE	0	FALSE	ecTrans	P	AL645608.2;AL645608.4	AL645608.2;AL645608.4;AL645608.6	2836
PC3DM+_anchor44	chr1	961065	961693	1	FALSE	0	TRUE	ecTrans	P	NOC2L;KLHL17	KLHL17;NOC2L	628
PC3DM+_anchor45	chr1	975705	977217	2	FALSE	0	TRUE	ecTrans	P	PLEKHN1	PERM1;PLEKHN1	1512
PC3DM+_anchor46	chr1	1014506	1015292	1	FALSE	0	TRUE	ecTrans	P	AL645608.1;ISG15	AL645608.1;ISG15	786
PC3DM+_anchor47	chr1	1074217	1075149	1	FALSE	0	FALSE	ecTrans	P	RNF223	RNF223	932
PC3DM+_anchor48	chr1	1114884	1115668	1	FALSE	0	FALSE	ecTrans	P	C1orf159	C1orf159	784
PC3DM+_anchor49	chr1	1156653	1158139	1	FALSE	0	TRUE	ecTrans	I	.	.	1486
PC3DM+_anchor50	chr1	1235021	1235650	1	FALSE	0	FALSE	ecTrans	G	.	B3GALT6	629
PC3DM+_anchor51	chr1	1236001	1238972	2	FALSE	0	FALSE	ecTrans	G	.	B3GALT6	2971
PC3DM+_anchor52	chr1	1269402	1271403	1	FALSE	0	FALSE	ecTrans	P	UBE2J2	UBE2J2	2001
PC3DM+_anchor53	chr1	1271685	1273075	2	FALSE	0	TRUE	ecTrans	P	UBE2J2;LINC01786	LINC01786;UBE2J2	1390
PC3DM+_anchor54	chr1	1281979	1283240	1	FALSE	0	FALSE	ecTrans	P	SCNN1D	LINC01786;SCNN1D	1261
PC3DM+_anchor55	chr1	1291364	1292174	1	FALSE	0	TRUE	ecTrans	G	.	ACAP3;SCNN1D	810
PC3DM+_anchor56	chr1	1307387	1309029	1	FALSE	0	TRUE	ecTrans	P	ACAP3;PUSL1	ACAP3;PUSL1	1642
PC3DM+_anchor57	chr1	1311628	1312495	1	FALSE	0	FALSE	ecTrans	G	.	INTS11;PUSL1	867
PC3DM+_anchor58	chr1	1315222	1316464	1	FALSE	0	FALSE	ecTrans	P	INTS11;AL139287.1	AL139287.1;INTS11	1242
PC3DM+_anchor59	chr1	1317036	1320459	3	FALSE	0	FALSE	ecTrans	P	INTS11;AL139287.1	AL139287.1;INTS11	3423
PC3DM+_anchor60	chr1	1329211	1335768	4	FALSE	0	FALSE	ecTrans	P	TAS1R3	CPTP;DVL1;TAS1R3	6557
PC3DM+_anchor61	chr1	1341878	1344558	2	FALSE	0	TRUE	ecTrans	P	DVL1	DVL1	2680
PC3DM+_anchor62	chr1	1344915	1347147	4	FALSE	0	TRUE	ecTrans	P	DVL1	DVL1	2232
PC3DM+_anchor63	chr1	1348461	1349252	1	FALSE	0	TRUE	ecTrans	P	DVL1	DVL1	791
PC3DM+_anchor64	chr1	1354004	1357965	6	FALSE	0	TRUE	ecTrans	P	MXRA8	MXRA8	3961
PC3DM+_anchor65	chr1	1359917	1360867	1	FALSE	0	FALSE	ecTrans	P	MXRA8	MXRA8	950
PC3DM+_anchor66	chr1	1361968	1363560	1	FALSE	0	FALSE	ecTrans	P	MXRA8	MXRA8	1592
PC3DM+_anchor67	chr1	1370279	1371216	1	FALSE	0	FALSE	ecTrans	I	.	.	937
PC3DM+_anchor68	chr1	1372697	1373951	1	FALSE	0	TRUE	ecTrans	P	AURKAIP1	AURKAIP1	1254
PC3DM+_anchor69	chr1	1397052	1399887	4	FALSE	0	TRUE	ecTrans	P	CCNL2;MRPL20-AS1	CCNL2;MRPL20;MRPL20-AS1	2835
PC3DM+_anchor70	chr1	1400352	1403117	4	FALSE	0	TRUE	ecTrans	P	CCNL2;MRPL20-AS1	CCNL2;MRPL20;MRPL20-AS1;RN7SL657P	2765
PC3DM+_anchor71	chr1	1403813	1406991	2	FALSE	0	TRUE	ecTrans	P	MRPL20;RN7SL657P;MRPL20-DT	MRPL20;MRPL20-AS1;MRPL20-DT;RN7SL657P	3178
PC3DM+_anchor72	chr1	1407845	1411499	5	FALSE	0	TRUE	ecTrans	P	MRPL20;RN7SL657P;MRPL20-DT	MRPL20;MRPL20-DT;RN7SL657P	3654
PC3DM+_anchor73	chr1	1412038	1414737	2	FALSE	0	FALSE	ecTrans	G	.	MRPL20-DT	2699
PC3DM+_anchor74	chr1	1470603	1472179	2	FALSE	0	TRUE	ecTrans	P	ATAD3B	ATAD3B;ATAD3C	1576
PC3DM+_anchor75	chr1	1511357	1512455	1	FALSE	0	TRUE	ecTrans	P	ATAD3A	ATAD3A	1098
PC3DM+_anchor76	chr1	1575257	1577166	1	FALSE	0	TRUE	ecTrans	P	SSU72;AL645728.1	AL645728.1;SSU72	1909
PC3DM+_anchor77	chr1	1610992	1615534	4	FALSE	0	TRUE	ecTrans	P	AL691432.2;MIB2	AL691432.2;MIB2	4542
PC3DM+_anchor78	chr1	1778026	1778647	1	FALSE	0	TRUE	ecTrans	P	NADK	NADK	621
PC3DM+_anchor79	chr1	1889732	1891084	1	FALSE	0	TRUE	ecTrans	P	GNB1;AL109917.1	AL109917.1;GNB1	1352
PC3DM+_anchor80	chr1	1891577	1893505	2	FALSE	0	TRUE	ecTrans	P	GNB1;AL109917.1	AL109917.1;GNB1	1928
PC3DM+_anchor81	chr1	1894845	1896665	2	FALSE	0	FALSE	ecTrans	G	.	AL109917.1	1820
PC3DM+_anchor82	chr1	1906617	1908671	1	FALSE	0	FALSE	ecTrans	I	.	.	2054
PC3DM+_anchor83	chr1	1909199	1910112	1	FALSE	0	TRUE	ecTrans	I	.	.	913
PC3DM+_anchor84	chr1	1918176	1919579	1	FALSE	0	TRUE	ecTrans	P	TMEM52	CALML6;CFAP74;TMEM52	1403
PC3DM+_anchor85	chr1	2132090	2133665	1	FALSE	0	FALSE	ecTrans	P	PRKCZ	PRKCZ	1575
PC3DM+_anchor86	chr1	2189499	2190502	1	FALSE	0	TRUE	ecTrans	G	.	FAAP20	1003
PC3DM+_anchor87	chr1	2193159	2194317	1	FALSE	0	TRUE	ecTrans	P	FAAP20	FAAP20	1158
PC3DM+_anchor88	chr1	2194837	2196473	1	FALSE	0	TRUE	ecTrans	P	FAAP20	FAAP20	1636
PC3DM+_anchor89	chr1	2206924	2208245	1	FALSE	0	TRUE	ecTrans	P	FAAP20	FAAP20	1321
PC3DM+_anchor90	chr1	2208768	2209875	1	FALSE	0	TRUE	ecTrans	P	FAAP20	FAAP20	1107
PC3DM+_anchor91	chr1	2210885	2213314	2	FALSE	0	TRUE	ecTrans	P	FAAP20;AL590822.1	AL590822.1;FAAP20	2429
PC3DM+_anchor92	chr1	2227032	2227989	1	FALSE	0	TRUE	ecTrans	P	SKI	SKI	957
PC3DM+_anchor93	chr1	2315294	2320823	1	FALSE	0	TRUE	ecTrans	P	AL590822.3	AL590822.3;MORN1	5529
PC3DM+_anchor94	chr1	2386272	2387159	1	FALSE	0	FALSE	ecTrans	P	MORN1	MORN1	887
PC3DM+_anchor95	chr1	2392042	2393751	1	FALSE	0	TRUE	ecTrans	P	MORN1;RER1	MORN1;RER1	1709
PC3DM+_anchor96	chr1	2401711	2404458	2	FALSE	0	FALSE	ecTrans	G	.	PEX10;RER1	2747
PC3DM+_anchor97	chr1	2405852	2406738	1	FALSE	0	FALSE	ecTrans	G	.	PEX10;RER1	886
PC3DM+_anchor98	chr1	2412555	2414321	2	FALSE	0	TRUE	ecTrans	P	PEX10	PEX10	1766
PC3DM+_anchor99	chr1	2414384	2415719	1	FALSE	0	TRUE	ecTrans	P	PEX10	PEX10	1335
PC3DM+_anchor100	chr1	2418962	2420656	2	FALSE	0	FALSE	ecTrans	I	.	.	1694
PC3DM+_anchor101	chr1	2452449	2453343	1	FALSE	0	TRUE	ecTrans	G	.	PLCH2	894
PC3DM+_anchor102	chr1	2526158	2527093	1	FALSE	0	TRUE	ecTrans	P	PANK4	HES5;PANK4	935
PC3DM+_anchor103	chr1	2582185	2582817	1	FALSE	0	FALSE	ecTrans	P	AL139246.3	AL139246.3	632
PC3DM+_anchor104	chr1	2585143	2586222	1	FALSE	0	TRUE	ecTrans	P	PRXL2B	AL139246.3;PRXL2B	1079
PC3DM+_anchor105	chr1	2586527	2587486	2	FALSE	0	TRUE	ecTrans	P	PRXL2B	AL139246.3;PRXL2B	959
PC3DM+_anchor106	chr1	2590139	2591571	1	FALSE	0	FALSE	ecTrans	P	MMEL1	MMEL1;PRXL2B	1432
PC3DM+_anchor107	chr1	3624767	3626485	2	FALSE	0	FALSE	ecTrans	P	AL513320.1;TPRG1L	AL513320.1;TPRG1L	1718
PC3DM+_anchor108	chr1	3629360	3630899	2	FALSE	0	FALSE	ecTrans	G	.	TPRG1L;WRAP73	1539
PC3DM+_anchor109	chr1	3745251	3746380	1	FALSE	0	FALSE	ecTrans	I	.	.	1129
PC3DM+_anchor110	chr1	3794356	3797792	2	FALSE	0	TRUE	ecTrans	P	LRRC47	LRRC47	3436
PC3DM+_anchor111	chr1	3854870	3857470	1	FALSE	0	TRUE	ecTrans	P	CEP104;DFFB	CEP104;DFFB	2600
PC3DM+_anchor112	chr1	3900174	3901725	3	FALSE	0	TRUE	ecTrans	P	C1orf174;LINC01134	C1orf174;LINC01134	1551
PC3DM+_anchor113	chr1	6146625	6148989	1	FALSE	0	FALSE	ecTrans	G	.	CHD5	2364
PC3DM+_anchor114	chr1	6183853	6184899	1	FALSE	0	FALSE	ecTrans	G	.	RPL22	1046
PC3DM+_anchor115	chr1	6199245	6199906	1	FALSE	0	TRUE	ecTrans	P	RPL22	RPL22	661
PC3DM+_anchor116	chr1	6200151	6205167	3	FALSE	0	TRUE	ecTrans	P	RPL22;RNF207-AS1;RNF207	RNF207;RNF207-AS1;RPL22	5016
PC3DM+_anchor117	chr1	6217603	6219008	1	FALSE	0	FALSE	ecTrans	G	.	ICMT;RNF207	1405
PC3DM+_anchor118	chr1	6220231	6222163	2	FALSE	0	FALSE	ecTrans	P	ICMT	ICMT;RNF207	1932
PC3DM+_anchor119	chr1	6245917	6247004	1	FALSE	0	FALSE	ecTrans	P	HES3	GPR153;HES3	1087
PC3DM+_anchor120	chr1	6299700	6301089	1	FALSE	0	FALSE	ecTrans	G	.	ACOT7	1389
PC3DM+_anchor121	chr1	6384136	6386101	1	FALSE	0	TRUE	ecTrans	P	ACOT7	ACOT7	1965
PC3DM+_anchor122	chr1	6490382	6492369	3	FALSE	0	TRUE	ecTrans	P	PLEKHG5	PLEKHG5	1987
PC3DM+_anchor123	chr1	6494774	6496719	1	FALSE	0	FALSE	ecTrans	P	PLEKHG5	PLEKHG5	1945
PC3DM+_anchor124	chr1	6554187	6555181	1	FALSE	0	TRUE	ecTrans	P	NOL9;TAS1R1	NOL9;TAS1R1	994
PC3DM+_anchor125	chr1	6580385	6581023	1	FALSE	0	TRUE	ecTrans	P	ZBTB48	TAS1R1;ZBTB48	638
PC3DM+_anchor126	chr1	6587347	6588376	1	FALSE	0	FALSE	ecTrans	G	.	KLHL21;ZBTB48	1029
PC3DM+_anchor127	chr1	6601152	6603455	1	FALSE	0	TRUE	ecTrans	P	KLHL21	KLHL21	2303
PC3DM+_anchor128	chr1	6624352	6625922	1	FALSE	0	TRUE	ecTrans	P	THAP3	PHF13;THAP3	1570
PC3DM+_anchor129	chr1	7265979	7267208	1	FALSE	0	FALSE	ecTrans	G	.	CAMTA1	1229
PC3DM+_anchor130	chr1	7298994	7302727	2	FALSE	0	TRUE	ecTrans	G	.	CAMTA1	3733
PC3DM+_anchor131	chr1	7782005	7792943	1	FALSE	0	TRUE	ecTrans	P	PER3	PER3;VAMP3	10938
PC3DM+_anchor132	chr1	7810623	7811681	1	FALSE	0	TRUE	ecTrans	G	.	PER3;Z98884.1	1058
PC3DM+_anchor133	chr1	7867613	7869221	1	FALSE	0	TRUE	ecTrans	I	.	.	1608
PC3DM+_anchor134	chr1	7869757	7871287	3	FALSE	0	TRUE	ecTrans	I	.	.	1530
PC3DM+_anchor135	chr1	7881852	7888048	2	FALSE	0	TRUE	ecTrans	I	.	.	6196
PC3DM+_anchor136	chr1	7888204	7890431	2	FALSE	0	TRUE	ecTrans	I	.	.	2227
PC3DM+_anchor137	chr1	7892297	7898568	9	FALSE	0	TRUE	ecTrans	I	.	.	6271
PC3DM+_anchor138	chr1	7902602	7904182	2	FALSE	0	TRUE	ecTrans	I	.	.	1580
PC3DM+_anchor139	chr1	7959242	7959961	1	FALSE	0	FALSE	ecTrans	P	PARK7	PARK7	719
PC3DM+_anchor140	chr1	7961105	7962371	1	FALSE	0	TRUE	ecTrans	P	PARK7	PARK7	1266
PC3DM+_anchor141	chr1	8005095	8006039	1	FALSE	55	TRUE	ecTrans	G	.	AL034417.4;ERRFI1	944
PC3DM+_anchor142	chr1	8006623	8008541	3	FALSE	55	FALSE	ecTrans	G	.	AL034417.4;ERRFI1	1918
PC3DM+_anchor143	chr1	8010431	8011927	2	FALSE	55	FALSE	ecTrans	G	.	ERRFI1	1496
PC3DM+_anchor144	chr1	8018756	8020778	3	FALSE	55	FALSE	ecTrans	G	.	ERRFI1	2022
PC3DM+_anchor145	chr1	8020887	8022950	4	FALSE	55	FALSE	ecTrans	G	.	ERRFI1	2063
PC3DM+_anchor146	chr1	8023458	8028340	21	FALSE	55	TRUE	ecTrans	P	ERRFI1;AL034417.2	AL034417.2;ERRFI1	4882
PC3DM+_anchor147	chr1	8039459	8040934	1	FALSE	55	TRUE	ecTrans	G	.	AL034417.2	1475
PC3DM+_anchor148	chr1	8045155	8046649	2	FALSE	55	TRUE	ecTrans	G	.	AL034417.2	1494
PC3DM+_anchor149	chr1	8046988	8048493	1	FALSE	55	TRUE	ecTrans	G	.	AL034417.2	1505
PC3DM+_anchor150	chr1	8061487	8062895	1	FALSE	55	TRUE	ecTrans	G	.	AL034417.2	1408
PC3DM+_anchor151	chr1	8076120	8077965	1	FALSE	55	TRUE	ecTrans	G	.	AL034417.2	1845
PC3DM+_anchor152	chr1	8077969	8078786	1	FALSE	55	TRUE	ecTrans	G	.	AL034417.2	817
PC3DM+_anchor153	chr1	8084601	8085955	1	FALSE	55	FALSE	ecTrans	G	.	AL034417.2	1354
PC3DM+_anchor154	chr1	8090164	8095130	8	FALSE	55	TRUE	ecTrans	G	.	AL034417.2	4966
PC3DM+_anchor155	chr1	8095236	8096577	2	FALSE	55	TRUE	ecTrans	G	.	AL034417.2	1341
PC3DM+_anchor156	chr1	8170119	8171651	1	FALSE	50	TRUE	ecTrans	I	.	.	1532
PC3DM+_anchor157	chr1	8173972	8175005	1	FALSE	50	TRUE	ecTrans	I	.	.	1033
PC3DM+_anchor158	chr1	8181534	8183182	2	FALSE	50	TRUE	ecTrans	I	.	.	1648
PC3DM+_anchor159	chr1	8183301	8184113	1	FALSE	50	TRUE	ecTrans	I	.	.	812
PC3DM+_anchor160	chr1	8194016	8195032	1	FALSE	50	TRUE	ecTrans	I	.	.	1016
PC3DM+_anchor161	chr1	8195239	8196006	1	FALSE	50	TRUE	ecTrans	I	.	.	767
PC3DM+_anchor162	chr1	8196580	8198918	3	FALSE	50	TRUE	ecTrans	I	.	.	2338
PC3DM+_anchor163	chr1	8204489	8205069	1	FALSE	50	TRUE	ecTrans	P	LINC01714	LINC01714	580
PC3DM+_anchor164	chr1	8210098	8213771	5	FALSE	50	TRUE	ecTrans	P	LINC01714	LINC01714	3673
PC3DM+_anchor165	chr1	8702865	8704021	1	FALSE	0	TRUE	ecTrans	P	RERE	RERE	1156
PC3DM+_anchor166	chr1	8815074	8816459	1	FALSE	0	TRUE	ecTrans	P	RERE	RERE	1385
PC3DM+_anchor167	chr1	8817157	8817866	1	FALSE	0	TRUE	ecTrans	P	RERE	RERE	709
PC3DM+_anchor168	chr1	8854958	8861510	12	FALSE	0	FALSE	ecTrans	G	.	ENO1	6552
PC3DM+_anchor169	chr1	8863920	8866142	3	FALSE	0	FALSE	ecTrans	G	.	ENO1	2222
PC3DM+_anchor170	chr1	8867350	8868148	1	FALSE	0	FALSE	ecTrans	G	.	ENO1	798
PC3DM+_anchor171	chr1	8869979	8882226	37	FALSE	0	TRUE	ecTrans	P	ENO1;ENO1-AS1	ENO1;ENO1-AS1	12247
PC3DM+_anchor172	chr1	9127475	9129013	2	FALSE	0	TRUE	ecTrans	P	GPR157	GPR157	1538
PC3DM+_anchor173	chr1	9424830	9430816	2	FALSE	0	FALSE	ecTrans	P	LINC02606;BX323043.1	BX323043.1;LINC02606	5986
PC3DM+_anchor174	chr1	9539137	9539732	1	FALSE	0	TRUE	ecTrans	P	SLC25A33	SLC25A33	595
PC3DM+_anchor175	chr1	9540214	9541033	1	FALSE	0	TRUE	ecTrans	P	SLC25A33	SLC25A33	819
PC3DM+_anchor176	chr1	9687017	9688197	1	FALSE	0	FALSE	ecTrans	P	PIK3CD-AS2;PIK3CD	PIK3CD;PIK3CD-AS2	1180
PC3DM+_anchor177	chr1	9907005	9909721	1	FALSE	0	FALSE	ecTrans	P	CTNNBIP1	AL357140.4;CTNNBIP1	2716
PC3DM+_anchor178	chr1	9941591	9943700	3	FALSE	0	TRUE	ecTrans	P	LZIC;AL357140.2;NMNAT1	AL357140.2;LZIC;NMNAT1	2109
PC3DM+_anchor179	chr1	10032898	10034750	2	FALSE	0	TRUE	ecTrans	P	UBE4B	UBE4B	1852
PC3DM+_anchor180	chr1	10208232	10210273	1	FALSE	0	TRUE	ecTrans	P	KIF1B	KIF1B	2041
PC3DM+_anchor181	chr1	10473821	10475345	1	FALSE	0	TRUE	ecTrans	P	DFFA;PEX14	DFFA;PEX14	1524
PC3DM+_anchor182	chr1	10796615	10797481	1	FALSE	0	FALSE	ecTrans	P	CASZ1	CASZ1	866
PC3DM+_anchor183	chr1	11011842	11012789	1	FALSE	0	TRUE	ecTrans	P	TARDBP	TARDBP	947
PC3DM+_anchor184	chr1	11050670	11052421	2	FALSE	0	FALSE	ecTrans	G	.	SRM	1751
PC3DM+_anchor185	chr1	11053427	11054663	1	FALSE	0	FALSE	ecTrans	P	SRM	SRM	1236
PC3DM+_anchor186	chr1	11054879	11056886	1	FALSE	0	FALSE	ecTrans	P	SRM	SRM	2007
PC3DM+_anchor187	chr1	11058201	11058817	1	FALSE	0	FALSE	ecTrans	P	SRM	SRM	616
PC3DM+_anchor188	chr1	11060738	11067196	2	FALSE	0	TRUE	ecTrans	P	AL109811.1;SRM	AL109811.1;EXOSC10;SRM	6458
PC3DM+_anchor189	chr1	11649547	11650932	1	FALSE	0	TRUE	ecTrans	G	.	FBXO2	1385
PC3DM+_anchor190	chr1	11751299	11753139	2	FALSE	0	FALSE	ecTrans	G	.	AGTRAP	1840
PC3DM+_anchor191	chr1	11806552	11808399	1	FALSE	0	TRUE	ecTrans	P	MTHFR;CLCN6	CLCN6;MTHFR	1847
PC3DM+_anchor192	chr1	11907238	11910966	27	FALSE	0	TRUE	ecTrans	P	AL021155.4	AL021155.4	3728
PC3DM+_anchor193	chr1	11926260	11927773	2	FALSE	0	TRUE	ecTrans	P	KIAA2013	KIAA2013	1513
PC3DM+_anchor194	chr1	11931364	11934378	1	FALSE	0	TRUE	ecTrans	P	PLOD1	PLOD1	3014
PC3DM+_anchor195	chr1	11936731	11942793	1	FALSE	0	FALSE	ecTrans	P	PLOD1	PLOD1	6062
PC3DM+_anchor196	chr1	11978802	11979848	1	FALSE	0	FALSE	ecTrans	P	AL096840.2;MFN2	AL096840.2;MFN2	1046
PC3DM+_anchor197	chr1	12018387	12020021	1	FALSE	0	FALSE	ecTrans	P	MIIP	MIIP	1634
PC3DM+_anchor198	chr1	12355636	12356862	1	FALSE	0	TRUE	ecTrans	G	.	VPS13D	1226
PC3DM+_anchor199	chr1	12381396	12382012	1	FALSE	0	TRUE	ecTrans	G	.	VPS13D	616
PC3DM+_anchor200	chr1	12434301	12435607	1	FALSE	0	TRUE	ecTrans	G	.	VPS13D	1306
PC3DM+_anchor201	chr1	12464807	12466882	1	FALSE	0	TRUE	ecTrans	P	VPS13D	VPS13D	2075
PC3DM+_anchor202	chr1	12476861	12478134	1	FALSE	0	TRUE	ecTrans	P	VPS13D	VPS13D	1273
PC3DM+_anchor203	chr1	12478468	12481551	3	FALSE	0	TRUE	ecTrans	P	VPS13D	VPS13D	3083
PC3DM+_anchor204	chr1	12549510	12550549	1	FALSE	0	TRUE	ecTrans	I	.	.	1039
PC3DM+_anchor205	chr1	12593691	12596331	4	FALSE	42	TRUE	ecTrans	P	DHRS3	DHRS3	2640
PC3DM+_anchor206	chr1	12596551	12597861	4	FALSE	42	TRUE	ecTrans	P	DHRS3	DHRS3	1310
PC3DM+_anchor207	chr1	12598064	12599032	1	FALSE	42	TRUE	ecTrans	P	DHRS3	DHRS3	968
PC3DM+_anchor208	chr1	12603686	12605746	2	FALSE	42	TRUE	ecTrans	G	.	DHRS3	2060
PC3DM+_anchor209	chr1	12609570	12612587	5	FALSE	42	FALSE	ecTrans	G	.	DHRS3	3017
PC3DM+_anchor210	chr1	12614638	12620990	18	FALSE	42	TRUE	ecTrans	P	DHRS3;AC254633.1	AC254633.1;DHRS3	6352
PC3DM+_anchor211	chr1	12622457	12624088	1	FALSE	0	FALSE	ecTrans	I	.	.	1631
PC3DM+_anchor212	chr1	12624550	12625425	1	FALSE	0	FALSE	ecTrans	I	.	.	875
PC3DM+_anchor213	chr1	13699374	13701817	2	FALSE	0	TRUE	ecTrans	P	PRDM2	PRDM2	2443
PC3DM+_anchor214	chr1	15352986	15353972	1	FALSE	0	TRUE	ecTrans	G	.	FHAD1	986
PC3DM+_anchor215	chr1	15603124	15604496	1	FALSE	0	TRUE	ecTrans	P	AL121992.1	AL121992.1	1372
PC3DM+_anchor216	chr1	15616522	15617598	1	FALSE	0	TRUE	ecTrans	P	DDI2	DDI2	1076
PC3DM+_anchor217	chr1	15618182	15619393	1	FALSE	0	TRUE	ecTrans	P	DDI2	DDI2	1211
PC3DM+_anchor218	chr1	15683448	15684376	1	FALSE	0	TRUE	ecTrans	P	AL121992.2;PLEKHM2	AL121992.2;PLEKHM2	928
